t; x; y; theta
8723244.783000; 0.09; 0.00; 0.00
8738598.969000; 0.09; 0.00; 0.00
8754500.501000; 0.09; 0.00; 0.00
8770932.757000; 0.10; 0.00; 0.00
8786485.223000; 0.10; 0.00; 0.00
8802557.726000; 0.10; 0.00; 0.00
8819354.484000; 0.10; 0.00; 0.00
8835520.784000; 0.10; 0.00; 0.00
8851357.015000; 0.10; 0.00; 0.00
8866816.871000; 0.10; 0.00; 0.00
8882473.819000; 0.10; 0.00; 0.00
8898552.259000; 0.10; 0.00; 0.00
8914751.804000; 0.11; 0.00; 0.00
8930459.806000; 0.11; 0.00; 0.00
8946356.589000; 0.11; 0.00; 0.00
8962610.750000; 0.11; 0.00; 0.00
8978458.853000; 0.11; 0.00; 0.00
8994489.801000; 0.11; 0.00; 0.00
9010574.178000; 0.11; 0.00; 0.00
9027195.215000; 0.11; 0.00; 0.00
9043086.061000; 0.11; 0.00; 0.00
9058682.457000; 0.11; 0.00; 0.00
9074239.672000; 0.12; 0.00; 0.00
9090080.652000; 0.12; 0.00; 0.00
9109014.552000; 0.12; 0.00; 0.00
9123732.345000; 0.12; 0.00; 0.00
9139428.474000; 0.12; 0.00; 0.00
9155206.526000; 0.12; 0.00; 0.00
9170330.376000; 0.12; 0.00; 0.00
9187491.635000; 0.12; 0.00; 0.00
9203367.047000; 0.12; 0.00; 0.00
9219801.678000; 0.13; 0.00; 0.00
9236403.718000; 0.13; 0.00; 0.00
9252336.120000; 0.13; 0.00; 0.00
9267640.439000; 0.13; 0.00; 0.00
9283480.232000; 0.13; 0.00; 0.00
9299380.576000; 0.13; 0.00; 0.00
9314636.217000; 0.13; 0.00; 0.00
9333581.990000; 0.13; 0.00; 0.00
9346898.767000; 0.12; 0.00; 0.00
9362442.921000; 0.12; 0.00; 0.00
9378184.167000; 0.12; 0.00; 0.00
9394419.331000; 0.11; 0.00; 0.00
9410433.657000; 0.11; 0.00; 0.00
9426103.666000; 0.10; 0.00; 0.00
9441762.988000; 0.10; 0.00; 0.00
9460303.892000; 0.09; 0.00; 0.00
9475820.739000; 0.09; 0.00; 0.00
9491591.668000; 0.09; 0.00; 0.00
9507609.555000; 0.08; 0.00; 0.00
9523790.103000; 0.08; 0.00; 0.00
9539563.407000; 0.07; 0.00; 0.00
9555613.352000; 0.07; 0.00; 0.00
9571100.516000; 0.07; 0.00; 0.00
9588335.388000; 0.06; 0.00; 0.00
9603932.971000; 0.06; 0.00; 0.00
9619471.189000; 0.05; 0.00; 0.00
9635233.806000; 0.05; 0.00; 0.00
9651516.462000; 0.04; 0.00; 0.00
9667499.918000; 0.04; 0.00; 0.00
9683424.009000; 0.04; 0.00; 0.00
9699649.675000; 0.03; 0.00; 0.00
